Unnamed: 0,episodes,chosen_conf_index,chosen_conf,chosen_conf_index_in_labels,number_of_requests,policy1,policy2,loss_q1,loss_q2,loss_w1,loss_w2,avg_response_time,cost,not_chosen_conf,not_chosen_conf_indx,not_chosen_conf_index_in_labels,not_avg_response_time,not_cost
585,586,37,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,41,28,1,0,0.0008509252220392,4.839840244130755e-07,,,0.11648992815620501,0.0026429630595372,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2316666666666667,0.0026429630595372
586,587,37,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,41,38,1,0,0.000739352137316,1.8711484983668925e-07,,,0.3097731361762551,0.0026429630595372,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2983333333333334,0.0026429630595372
587,588,37,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,41,38,1,0,0.0032061468809843,2.7903577120014238e-06,,,0.31047489056222005,0.0026429630595372,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2691666666666666,0.0026429630595372
588,589,37,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,41,34,0,1,0.0023919087834656,4.6217542148951917e-07,,,0.2072602362794543,0.0026429630595372,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2319791666666666,0.0026429630595372
589,590,37,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,41,35,1,0,0.0029430571012198,4.27320912876894e-07,,,0.24820421387049071,0.0026429630595372,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2520430107526882,0.0026429630595372
590,591,10,<pyews.server_abstractions.Configuration object at 0x000001EBB48C8520>,8,33,1,0,0.0018967562355101,1.5806624276137884e-07,,,0.2031277347940116,0.2691259569858366,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2017241379310344,0.0026429630595372
591,592,10,<pyews.server_abstractions.Configuration object at 0x000001EBB48C8520>,8,28,1,0,0.0026435060426592,1.93219534594391e-07,,,0.15077564244191932,0.2691259569858366,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2754285714285714,0.0026429630595372
592,593,38,<pyews.server_abstractions.Configuration object at 0x000001EBB4923580>,39,36,1,0,0.0038019651547074,1.365395263519531e-07,,,0.27316982233609927,0.3054506676452877,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2386206896551723,0.0026429630595372
593,594,38,<pyews.server_abstractions.Configuration object at 0x000001EBB4923580>,39,32,1,0,0.0029198613483458,7.711584970593321e-08,,,0.25519528529906216,0.3054506676452877,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2243434343434343,0.0026429630595372
594,595,12,<pyews.server_abstractions.Configuration object at 0x000001EBB4913280>,34,29,1,0,0.0110442209988832,1.0193577537620513e-07,,,0.11064427955193573,0.1726468100868174,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2704040404040404,0.0026429630595372
595,596,12,<pyews.server_abstractions.Configuration object at 0x000001EBB4913280>,34,39,1,0,0.0080608874559402,4.587129609490148e-08,,,0.29482936649564334,0.1726468100868174,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.3126126126126126,0.0026429630595372
596,597,12,<pyews.server_abstractions.Configuration object at 0x000001EBB4913280>,34,33,1,0,0.0077699078246951,1.8014878833128026e-07,,,0.25060248226875914,0.1726468100868174,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.3761261261261262,0.0026429630595372
597,598,28,<pyews.server_abstractions.Configuration object at 0x000001EBB4921A80>,37,32,1,0,0.0020873183384537,8.400343176617753e-07,,,0.1656119519657288,0.308151228202052,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2747916666666666,0.0026429630595372
598,599,25,<pyews.server_abstractions.Configuration object at 0x000001EBB49125C0>,33,35,1,0,0.0005889466265216,1.4521328921546228e-06,,,0.2438232614895384,0.2643778247082362,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2833333333333333,0.0026429630595372
599,600,25,<pyews.server_abstractions.Configuration object at 0x000001EBB49125C0>,33,34,1,0,0.0013627227162942,1.38793075166177e-06,,,0.2207896480441602,0.2643778247082362,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.1833333333333333,0.0026429630595372
